0,12
0,14
0,15
0,17
0,19
0,23
0,12
0,27
0,14
0,28
0,22
0,12
0,26
0,24
0,25
0,21
0,22
0,25
0,12
0,11
0,16
0,17
0,12
0,14
0,15
0,17
0,19
0,23
0,47
0,27
0,14
0,28
0,22
0,12
0,46
0,24
0,25
0,21
0,22
0,25
0,12
0,11
0,16
0,17
0,11
0,56
0,17
0,27
0,14
0,28
1,31
1,37
1,39
1,41
1,38
1,35
1,31
1,33
1,49
1,45
1,42
1,44
1,41
1,32
1,31
1,37
1,39
1,41
1,38
1,35
1,31
1,33
1,49
1,45
1,42
1,78
1,41
1,32
1,31
1,33
1,49
1,45
1,42
1,44
1,41
1,32
1,31
1,11
1,39
1,41
1,38
1,35
1,31
1,33
1,56
1,31
1,33
1,31
1,33
1,31
2,63
2,58
2,51
2,63
2,65
2,58
2,64
2,61
2,67
2,63
2,65
2,64
2,68
2,57
2,58
2,64
2,65
2,31
2,55
2,60
2,69
2,56
2,58
2,63
2,67
2,87
2,62
2,44
2,64
2,67
2,66
2,69
2,64
2,63
2,61
2,54
2,63
2,64
2,60
2,69
2,67
2,69
2,58
2,68
2,67
2,67
2,63
2,65
2,62
2,59
3,80
3,82
3,90
